PLAYER,TEAM,INJURY1,INJURY2,STATUS,DATE1,DATE2,DAYS,CASH EARNED,first_name,last_name,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last,DATE1_NEW,DATE2_NEW,Year
Carlos Rodon,CHW,,Shoulder,60-day,,9/8 - 10/1,92,"$301,668 ",carlos,rodon,607074,rodoc001,rodonca01,16137,2015,2020,,9/8/2017,2017
Jerad Eickhoff,PHI,,Hand,60-day,,8/31 - 10/1,32,"$96,512 ",jerad,eickhoff,595191,eickj001,eickhje01,12664,2015,2019,,8/31/2017,2017
Danny Duffy,KC,,Elbow,10-day,,8/26 - 9/17,23,"$628,406 ",danny,duffy,518633,duffd001,duffyda01,3542,2011,2020,,8/26/2017,2017
Paul Blackburn,OAK,,Hand,60-day,,8/25 - 10/1,38,"$111,074 ",paul,blackburn,621112,blacp001,blackpa01,14739,2017,2020,,8/25/2017,2017
Steven Matz,NYM,,Elbow,10-day,,8/23 - 10/1,110,"$337,920 ",steven,matz,571927,matzs001,matzst01,13361,2015,2020,,8/23/2017,2017
Alex Wood,LAD,Shoulder,Shoulder,10-day,5/29 - 6/10,8/22 - 9/3,26,"$397,826 ",alex,wood,622072,wooda002,woodal02,13781,2013,2020,5/29/2017,8/22/2017,2017
Zach Eflin,PHI,,Shoulder,10-day,,8/22 - 10/1,51,"$149,634 ",zach,eflin,621107,efliz001,eflinza01,13774,2016,2020,,8/22/2017,2017
Danny Salazar,CLE,Shoulder,Elbow,10-day,6/6 - 7/22,8/22 - 9/5,62,"$1,151,898 ",danny,salazar,517593,salad001,salazda01,5867,2013,2019,6/6/2017,8/22/2017,2017
Yu Darvish,LAD,,Back,10-day,,8/19 - 8/27,9,"$540,981 ",yu,darvish,506433,darvy001,darviyu01,13074,2012,2020,,8/19/2017,2017
Reynaldo Lopez,CHW,,Back,10-day,,8/19 - 9/1,14,"$40,922 ",reynaldo,lopez,625643,loper003,lopezre01,16400,2016,2020,,8/19/2017,2017
Jon Lester,CHC,,Shoulder,10-day,,8/18 - 9/2,16,"$1,748,640 ",jon,lester,452657,lestj001,lestejo01,4930,2006,2020,,8/18/2017,2017
Max Scherzer,WSH,,Neck,10-day,,8/18 - 8/28,11,"$901,637 ",max,scherzer,453286,schem001,scherma01,3137,2008,2020,,8/18/2017,2017
Adam Wainwright,STL,Back,Elbow,10-day,7/25 - 8/6,8/18 - 9/20,47,"$5,008,179 ",adam,wainwright,425794,waina001,wainwad01,2233,2005,2020,7/25/2017,8/18/2017,2017
Dietrich Enns,MIN,,Shoulder,10-day,,8/17 - 9/5,20,"$58,460 ",dietrich,enns,608650,ennsd001,ennsdi01,13932,2017,2017,,8/17/2017,2017
Masahiro Tanaka,NYY,,Shoulder,10-day,,8/12 - 8/22,11,"$1,322,409 ",masahiro,tanaka,547888,tanam001,tanakma01,15764,2014,2020,,8/12/2017,2017
James Paxton,SEA,Arm,Pectoral,10-day,5/3 - 5/31,8/11 - 9/15,65,"$834,730 ",james,paxton,572020,paxtj001,paxtoja01,11828,2013,2020,5/3/2017,8/11/2017,2017
Felix Hernandez,SEA,Shoulder,Biceps,10-day,4/26 - 6/23,8/5 - 9/14,100,"$14,207,700 ",felix,hernandez,433587,hernf002,hernafe02,4772,2005,2019,4/26/2017,8/5/2017,2017
Michael Fulmer,DET,,Elbow,10-day,,8/3 - 8/14,12,"$36,192 ",michael,fulmer,605242,fulmm001,fulmemi01,13218,2016,2020,,8/3/2017,2017
Lance McCullers,HOU,Back,Back,10-day,6/12 - 6/24,7/31 - 9/6,51,"$152,745 ",lance,mccullers,118617,mccul001,mcculla01,1008436,1985,1992,6/12/2017,7/31/2017,2017
Lance McCullers,HOU,Back,Back,10-day,6/12 - 6/24,7/31 - 9/6,51,"$152,745 ",lance,mccullers,621121,mccul002,mcculla02,14120,2015,2020,6/12/2017,7/31/2017,2017
David Price,BOS,,Elbow,10-day,,7/28 - 9/14,107,"$17,540,938 ",david,price,456034,pricd001,priceda01,3184,2008,2019,,7/28/2017,2017
Stephen Strasburg,WSH,,Elbow,10-day,,7/27 - 8/19,24,"$1,967,208 ",stephen,strasburg,544931,stras001,strasst01,10131,2010,2020,,7/27/2017,2017
Matt Garza,MIL,,Pectoral,10-day,,6/7 - 6/14,40,"$2,732,240 ",matt,garza,490063,garzm001,garzama01,3340,2006,2017,,6/7/2017,2017
Jake Odorizzi,TB,,Back,10-day,,7/26 - 8/9,32,"$716,928 ",jake,odorizzi,543606,odorj001,odorija01,6397,2012,2020,,7/26/2017,2017
Alex Meyer,LAA,Back,Shoulder,10-day,5/24 - 6/1,7/25 - 10/1,78,"$227,994 ",alex,meyer,543542,meyea001,meyeral01,12833,2015,2017,5/24/2017,7/25/2017,2017
Clayton Kershaw,LAD,,Back,10-day,,7/24 - 9/1,40,"$7,213,120 ",clayton,kershaw,477132,kersc001,kershcl01,2036,2008,2020,,7/24/2017,2017
Tyson Ross,TEX,,Finger,60-day,,7/24 - 8/12,96,"$3,147,552 ",tyson,ross,475115,rosst001,rossty01,7872,2010,2019,,7/24/2017,2017
Brandon McCarthy,LAD,Shoulder,Finger,10-day,5/8 - 5/15,7/24 - 9/23,83,"$4,535,535 ",brandon,mccarthy,435221,mccab001,mccarbr01,4662,2005,2018,5/8/2017,7/24/2017,2017
Aaron Sanchez,TOR,Finger,Finger,10-day,5/20 - 7/7,7/22 - 10/1,151,"$441,373 ",aaron,sanchez,592717,sanca006,sanchaa01,11490,2014,2019,5/20/2017,7/22/2017,2017
Michael Pineda,NYY,,Elbow,10-day,,7/16 - 10/1,78,"$3,154,086 ",michael,pineda,501381,pinem001,pinedmi01,5372,2011,2020,,7/16/2017,2017
Joe Ross,WSH,,Elbow Tommy John,60-day,,7/16 - 10/1,78,"$234,858 ",joe,ross,605452,rossj002,rossjo01,12972,2015,2019,,7/16/2017,2017
Johnny Cueto,SF,,Finger,10-day,,7/15 - 9/1,49,"$1,338,778 ",johnny,cueto,456501,cuetj001,cuetojo01,6893,2008,2020,,7/15/2017,2017
