PLAYER,TEAM,INJURY1,INJURY2,STATUS,DATE1,DATE2,DAYS,CASH EARNED,first_name,last_name,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last,DATE1_NEW,DATE2_NEW,Year
Cole Hamels,CHC,,Oblique,10-day,,6/29 - 8/2,35,"$3,763,445 ",cole,hamels,430935,hamec001,hamelco01,4972,2006,2020,,6/29/2019,2019
Brian Johnson,BOS,,Elbow,10-day,,4/6 - 6/14,108,"$333,828 ",brian,johnson,598271,johnb004,johnsbr02,14272,2015,2019,,4/6/2019,2019
Brian Johnson,BOS,,Elbow,10-day,,4/6 - 6/14,108,"$333,828 ",brian,johnson,116566,johnb002,johnsbr01,1006432,1994,2001,,4/6/2019,2019
Josh Rogers,BAL,,Elbow,60-day,,6/26 - 9/29,96,"$286,464 ",josh,rogers,642028,rogej003,rogerjo01,18510,2018,2019,,6/26/2019,2019
Rich Hill,LAD,,Arm,10-day,,6/20 - 9/12,117,"$11,322,558 ",rich,hill,448179,hillr001,hillri01,4806,2005,2020,,6/20/2019,2019
Pablo Lopez,MIA,,Shoulder,10-day,,6/19 - 8/26,69,"$205,896 ",pablo,lopez,641154,lopep002,lopezpa01,17085,2018,2020,,6/19/2019,2019
Mike Clevinger,CLE,,Back,60-day,,4/9 - 6/17,81,"$257,904 ",mike,clevinger,605182,clevm001,clevimi01,12808,2016,2020,,4/9/2019,2019
Edwin Jackson,TOR,,Back,10-day,,6/18 - 7/14,27,"$80,568 ",edwin,jackson,429719,jacke001,jacksed01,1841,2003,2019,,6/18/2019,2019
Jerad Eickhoff,PHI,,Biceps,60-day,,6/17 -,473,"$2,479,466 ",jerad,eickhoff,595191,eickj001,eickhje01,12664,2015,2019,,6/17/2019,2019
Kyle Hendricks,CHC,,Shoulder,10-day,,6/16 - 7/2,17,"$676,804 ",kyle,hendricks,543294,hendk001,hendrky01,12049,2014,2020,,6/16/2019,2019
Noah Syndergaard,NYM,,Hamstring,10-day,,6/16 - 6/30,15,"$483,870 ",noah,syndergaard,592789,syndn001,syndeno01,11762,2015,2019,,6/16/2019,2019
Adam Wainwright,STL,,Hamstring,10-day,,6/11 - 6/20,10,"$107,530 ",adam,wainwright,425794,waina001,wainwad01,2233,2005,2020,,6/11/2019,2019
Rookie Davis,PIT,,Finger,60-day,,6/9 - 8/13,66,"$196,944 ",rookie,davis,606959,davir004,davisro03,14962,2017,2019,,6/9/2019,2019
Jose Urena,MIA,,Back,60-day,,6/8 - 9/1,86,"$1,479,544 ",jose,urena,570632,urenj001,urenajo01,11589,2015,2020,,6/8/2019,2019
Gio Gonzalez,MIL,,Arm,10-day,,6/1 - 7/20,50,"$537,650 ",gio,gonzalez,461829,gonzg003,gonzagi01,7448,2008,2020,,6/1/2019,2019
Jacob Waguespack,TOR,,Shoulder,10-day,,5/29 - 7/3,36,"$107,424 ",jacob,waguespack,621097,waguj001,wagueja01,18318,2019,2020,,5/29/2019,2019
Zach Eflin,PHI,,Back,10-day,,5/28 - 6/7,11,"$34,892 ",zach,eflin,621107,efliz001,eflinza01,13774,2016,2020,,5/28/2019,2019
