PLAYER,TEAM,INJURY1,INJURY2,STATUS,DATE1,DATE2,DAYS,CASH EARNED,first_name,last_name,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last,DATE1_NEW,DATE2_NEW,Year
Clay Buchholz,ARI,,Elbow,10-day,,9/15 - 10/1,47,"$379,055 ",clay,buchholz,453329,buchc001,buchhcl01,3543,2007,2019,,9/15/2018,2018
Luiz Gohara,ATL,,Shoulder,10-day,,9/14 - 10/1,49,"$146,216 ",luiz,gohara,627894,gohal001,goharlu01,15166,2017,2018,,9/14/2018,2018
Michael Kopech,CHW,,Elbow Tommy John,60-day,,9/8 - 10/1,24,"$70,320 ",michael,kopech,656629,kopem001,kopecmi01,17282,2018,2018,,9/8/2018,2018
Pablo Lopez,MIA,,Shoulder,60-day,,9/1 - 10/1,31,"$90,830 ",pablo,lopez,641154,lopep002,lopezpa01,17085,2018,2020,,9/1/2018,2018
Kendall Graveman,OAK,,Elbow Tommy John,60-day,,9/1 - 10/1,31,"$393,328 ",kendall,graveman,608665,gravk001,graveke01,15514,2014,2020,,9/1/2018,2018
Charlie Morton,HOU,,Shoulder,10-day,,8/29 - 9/8,11,"$413,974 ",charlie,morton,119424,mortc101,mortoch01,1009231,1882,1885,,8/29/2018,2018
Charlie Morton,HOU,,Shoulder,10-day,,8/29 - 9/8,11,"$413,974 ",charlie,morton,450203,mortc002,mortoch02,4676,2008,2020,,8/29/2018,2018
Brett Anderson,OAK,Shoulder,Arm,10-day,5/19-7/8,8/28 - 9/13,68,"$1,166,472 ",brett,anderson,474463,andeb004,anderbr04,8223,2009,2020,5/19/2018,8/28/2018,2018
Marco Gonzales,SEA,,Neck,10-day,,8/27 - 9/11,16,"$47,344 ",marco,gonzales,594835,gonzm005,gonzama02,15467,2014,2020,,8/27/2018,2018
Sean Manaea,OAK,,Shoulder,10-day,,8/26 - 10/1,37,"$109,409 ",sean,manaea,640455,manas001,manaese01,15873,2016,2020,,8/26/2018,2018
Bartolo Colon,TEX,,Back,10-day,,8/24 - 9/1,9,"$84,681 ",bartolo,colon,112526,colob001,colonba01,375,1997,2018,,8/24/2018,2018
Ervin Santana,MIN,,Finger,60-day,,8/19 - 10/1,163,"$11,830,703 ",ervin,santana,429722,sante001,santaer01,3200,2005,2019,,8/19/2018,2018
Marcus Stroman,TOR,Shoulder,Finger,10-day,5/11 - 6/23,8/19 - 9/3,60,"$2,096,760 ",marcus,stroman,573186,strom001,stromma01,13431,2014,2019,5/11/2018,8/19/2018,2018
Chris Sale,BOS,Shoulder,Shoulder,10-day,7/31 - 8/12,8/18 - 9/11,38,"$2,553,752 ",chris,sale,519242,salec001,salech01,10603,2010,2019,7/31/2018,8/18/2018,2018
Mike Montgomery,CHC,,Elbow,10-day,,8/17 - 8/30,14,"$46,004 ",mike,montgomery,543557,montm002,montgmi01,4869,2015,2020,,8/17/2018,2018
