PLAYER,TEAM,INJURY1,INJURY2,STATUS,DATE1,DATE2,DAYS,CASH EARNED,first_name,last_name,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last,DATE1_NEW,DATE2_NEW,Year
Carlos Carrasco,CLE,,Hand,15-day,,10/1 - 9/17,54,"$1,327,860 ",carlos,carrasco,471911,carrc003,carraca01,6632,2009,2020,,10/1/2016,2016
Jacob deGrom,NYM,,Elbow,60-day,,9/21 - 10/2,12,"$39,804 ",jacob,degrom,594798,degrj001,degroja01,10954,2014,2020,,9/21/2016,2016
Gerrit Cole,PIT,Arm,Elbow,15-day,8/25 - 9/12,9/13 - 10/2,75,"$224,625 ",gerrit,cole,543037,coleg001,colege01,13125,2013,2020,8/25/2016,9/13/2016,2016
Scott Kazmir,LAD,,Back,15-day,,8/23 - 9/24,33,"$2,284,161 ",scott,kazmir,431148,kazms001,kazmisc01,4897,2004,2016,,8/23/2016,2016
Brett Anderson,LAD,,Finger,60-day,,8/23 - 9/23,166,"$14,332,274 ",brett,anderson,474463,andeb004,anderbr04,8223,2009,2020,,8/23/2016,2016
Chris Tillman,BAL,,Shoulder,15-day,,8/21 - 9/10,21,"$714,336 ",chris,tillman,501957,tillc001,tillmch01,5279,2009,2018,,8/21/2016,2016
Stephen Strasburg,WSH,Back,Elbow,15-day,6/16 - 7/3,8/21 - 9/7,36,"$2,045,916 ",stephen,strasburg,544931,stras001,strasst01,10131,2010,2020,6/16/2016,8/21/2016,2016
John Lackey,CHC,,Shoulder,15-day,,8/15 - 9/4,21,"$1,836,072 ",john,lackey,407793,lackj001,lackejo01,1507,2002,2017,,8/15/2016,2016
Tyler Chatwood,COL,Back,Back,15-day,6/19 - 7/5,8/15 - 9/2,36,"$196,704 ",tyler,chatwood,543022,chatt001,chatwty01,4338,2011,2020,6/19/2016,8/15/2016,2016
Steven Matz,NYM,,Elbow,15-day,,8/15 - 10/6,53,"$149,354 ",steven,matz,571927,matzs001,matzst01,13361,2015,2020,,8/15/2016,2016
Nathan Eovaldi,NYY,,Elbow,60-day,,8/11 - 10/2,53,"$1,621,853 ",nathan,eovaldi,543135,eovan001,eovalna01,9132,2011,2020,,8/11/2016,2016
James Paxton,SEA,,Elbow,15-day,,8/8 - 8/25,18,"$49,914 ",james,paxton,572020,paxtj001,paxtoja01,11828,2013,2020,,8/8/2016,2016
Sonny Gray,OAK,Back,Arm,15-day,5/22 - 6/5,8/8 - 9/28,67,"$193,161 ",sonny,gray,543243,grays001,grayso01,12768,2013,2020,5/22/2016,8/8/2016,2016
Jordan Zimmermann,DET,Neck,Arm,15-day,7/1 - 8/4,8/5 - 9/6,68,"$6,688,548 ",jordan,zimmermann,519455,zimmj003,zimmejo02,4505,2009,2020,7/1/2016,8/5/2016,2016
Aaron Nola,PHI,,Elbow,60-day,,8/3 - 10/2,61,"$172,508 ",aaron,nola,605400,nolaa001,nolaaa01,16149,2015,2020,,8/3/2016,2016
Danny Salazar,CLE,,Elbow,15-day,,8/2 - 8/18,17,"$49,810 ",danny,salazar,517593,salad001,salazda01,5867,2013,2019,,8/2/2016,2016
Lance McCullers,HOU,,Elbow,15-day,,8/1 - 10/2,104,"$293,592 ",lance,mccullers,118617,mccul001,mcculla01,1008436,1985,1992,,8/1/2016,2016
Lance McCullers,HOU,,Elbow,15-day,,8/1 - 10/2,104,"$293,592 ",lance,mccullers,621121,mccul002,mcculla02,14120,2015,2020,,8/1/2016,2016
Julio Teheran,ATL,,Arm,15-day,,7/31 - 8/19,20,"$378,880 ",julio,teheran,527054,tehej001,teherju01,6797,2011,2020,,7/31/2016,2016
